company_name,job_title,department,location,seniority,job_url,growth_signal_tag
Razorpay,Manager - Channel Partnerships,Channel Partnerships,Bengaluru,Other,https://job-boards.greenhouse.io/razorpaysoftwareprivatelimited/jobs/4542042005,
Paytm,SAM - Senior Associate/Team Lead/Assistant Manager - Deal & Gift Voucher,Business,Chennai,Mid,https://jobs.lever.co/paytm/3834eb18-d7cd-4d61-8de9-80f4be16e005,
Drip Capital,Security Compliance Engineer,Technology,"Mumbai, Maharashtra, India",Other,https://dripcapital.hire.trakstar.com/jobs/fk0pngk/,
Paytm,Product Operation - Assistant Manager - Lending,Operations & support,Noida,Other,https://jobs.lever.co/paytm/84b23183-8313-4c50-91c2-aab400c21262,
Paytm,Area Sales Manager - Midmarket Sales (EDC Retail),Sales,Bangalore,Mid,https://jobs.lever.co/paytm/596a4462-0a95-479e-9f04-0ebe672bea04,
Urban Company,Category Manager - Central,Business,Delhi,Other,https://careers.urbancompany.com/jobDetail?id=1f0e547e-2978-4913-affe-e27154a1a812,
Razorpay,"Senior Manager, HRBP",HRBP,Bengaluru,Senior,https://job-boards.greenhouse.io/razorpaysoftwareprivatelimited/jobs/4554121005,
CRED,sdet - mobile,Frontend engineering,Bengaluru,Other,https://careers.cred.club/openings/fd4bac8c-94ba-4549-bc10-41d942b0481c,
Razorpay,Senior DevOps Engineer,DevOps,Bengaluru,Senior,https://job-boards.greenhouse.io/razorpaysoftwareprivatelimited/jobs/4570338005,
Meesho,Assistant Manager - Fulfilment team (Program Management),Fulfilment & Experience,Bengaluru,Other,https://meesho.io/jobs/assistant-manager---fulfilment-team-program-management?id=59c4fe1a-9b89-4303-9f45-9ae49ad7847f,
Urban Company,Senior Manager- FHC- Bangalore,Business,Bangalore,Senior,https://careers.urbancompany.com/jobDetail?id=8e0859fa-4d8f-42dc-93cc-c47d1cb7d51e,
Drip Capital,DevOps Engineer II,Technology,"Mumbai, Maharashtra, India",Other,https://dripcapital.hire.trakstar.com/jobs/fk0pdtf/,
Razorpay,Senior Manager - HRBP SEA,HRBP,Malaysia,Senior,https://job-boards.greenhouse.io/razorpaysoftwareprivatelimited/jobs/4569508005,
Drip Capital,Manager Strategy,,"Mumbai, Maharashtra, India",Other,https://dripcapital.hire.trakstar.com/jobs/fk0parw/,
Urban Company,Category Manager - Hyderabad,Business,Hyderabad,Other,https://careers.urbancompany.com/jobDetail?id=b78f4e3e-2940-4442-8e91-6354cede3236,
Paytm,SAM - Senior Associate/Team Lead/Assistant Manager - Deal & Gift Voucher,Business,Bangalore,Mid,https://jobs.lever.co/paytm/93c4c875-83b1-4e37-a6a9-616d03d21e2f,
Chargebee,Product Marketing Manager,Marketing - PMM & Enablement,"Salt Lake City - USA, US",Other,https://jobs.chargebee.com/job/Salt-Lake-City-USA-Product-Marketing-Manager-UT-84101/38035444/,
Razorpay,Senior Associate - Legal,Legal,Bengaluru,Mid,https://job-boards.greenhouse.io/razorpaysoftwareprivatelimited/jobs/4569254005,
Razorpay,Manager - Ad Sales (Enterprise Sales),Enterprise Sales,Bengaluru,Other,https://job-boards.greenhouse.io/razorpaysoftwareprivatelimited/jobs/4545803005,
Paytm,KAM - TL/AM (GT) - EDC Retail,Sales,Delhi-ncr / ghaziabad,Other,https://jobs.lever.co/paytm/9697523a-8868-4e94-8998-5750586de0ad,
Razorpay,Lead Software Development Engineer,Backend,Bengaluru,Lead,https://job-boards.greenhouse.io/razorpaysoftwareprivatelimited/jobs/4551331005,
CRED,growth specialist,Product & growth,Bengaluru,Other,https://careers.cred.club/openings/c85d5832-53c2-413e-b711-41b5acef6a74,
Yellow.ai,Account Executive,,"jakarta, Jakarta Raya, Indonesia",Other,https://careers.yellow.ai/jobs/Careers/157454000000948525/Account-Executive?source=CareerSite,
Urban Company,Senior Category Manager,Business,Bengaluru,Senior,https://careers.urbancompany.com/jobDetail?id=c811f07e-6be8-45d7-b1ae-177f37b1812a,
Drip Capital,Risk Analytics - Manager,Risk,"Mumbai, Maharashtra, India",Other,https://dripcapital.hire.trakstar.com/jobs/fk0pm6n/,
Razorpay,Senior Engineering Manager,Backend,Bengaluru,Senior,https://job-boards.greenhouse.io/razorpaysoftwareprivatelimited/jobs/4528024005,
Paytm,Internal Audit - IT Security,Enabling,Noida,Intern,https://jobs.lever.co/paytm/6b4fef3f-5c9b-42d9-bcc8-02d8460e76e1,
Razorpay,Senior Engineering Manager,Backend,Bengaluru,Senior,https://job-boards.greenhouse.io/razorpaysoftwareprivatelimited/jobs/4545798005,
